,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
818,2001-09-10,26.22150317167341,0.40552300473192165,52.3333862694934,26.22150317167341,26.22150317167341,0.8711982430518352,0.8711982430518352,0.8711982430518352,0.8711982430518352,0.8711982430518352,0.8711982430518352,0.0,0.0,0.0,27.092701414725248
819,2001-09-17,26.262386915045575,5.045138763806971,50.409136429747285,26.262386915045575,26.262386915045575,0.8852979939715117,0.8852979939715117,0.8852979939715117,0.8852979939715117,0.8852979939715117,0.8852979939715117,0.0,0.0,0.0,27.147684909017087
820,2001-09-24,26.303270658417738,3.0163452296286,50.32298092611403,26.303270658417738,26.303270658417738,0.8383153781299536,0.8383153781299536,0.8383153781299536,0.8383153781299536,0.8383153781299536,0.8383153781299536,0.0,0.0,0.0,27.14158603654769
821,2001-10-01,26.3441544017899,3.6632934334640206,51.836705008561545,26.3441544017899,26.3441544017899,0.7539805037383334,0.7539805037383334,0.7539805037383334,0.7539805037383334,0.7539805037383334,0.7539805037383334,0.0,0.0,0.0,27.098134905528234
822,2001-10-08,26.385038145162063,3.761116358168668,49.93641052810119,26.385038145162063,26.385038145162063,0.6661462207805625,0.6661462207805625,0.6661462207805625,0.6661462207805625,0.6661462207805625,0.6661462207805625,0.0,0.0,0.0,27.051184365942625
823,2001-10-15,26.42592188853423,4.346071398226222,52.51258262051885,26.42592188853423,26.42592188853423,0.5276761083111138,0.5276761083111138,0.5276761083111138,0.5276761083111138,0.5276761083111138,0.5276761083111138,0.0,0.0,0.0,26.953597996845343
824,2001-10-22,26.466805631906393,1.6891176778631802,51.40982573482055,26.466805631906393,26.466805631906393,0.25035803433424875,0.25035803433424875,0.25035803433424875,0.25035803433424875,0.25035803433424875,0.25035803433424875,0.0,0.0,0.0,26.71716366624064
825,2001-10-29,26.507689375278556,1.9377154618716432,50.67543746827346,26.507689375278556,26.507689375278556,-0.16838005191054134,-0.16838005191054134,-0.16838005191054134,-0.16838005191054134,-0.16838005191054134,-0.16838005191054134,0.0,0.0,0.0,26.339309323368013
826,2001-11-05,26.54857311865072,1.5142056484612605,49.48638798556662,26.54857311865072,26.54857311865072,-0.6035681693136549,-0.6035681693136549,-0.6035681693136549,-0.6035681693136549,-0.6035681693136549,-0.6035681693136549,0.0,0.0,0.0,25.945004949337065
827,2001-11-12,26.589456862022878,2.4263542331872237,51.52707878222623,26.589456862022878,26.589456862022878,-0.9219424542133988,-0.9219424542133988,-0.9219424542133988,-0.9219424542133988,-0.9219424542133988,-0.9219424542133988,0.0,0.0,0.0,25.66751440780948
828,2001-11-19,26.63034060539504,2.2733443756140272,50.0301774749924,26.63034060539504,26.63034060539504,-1.133070708429588,-1.133070708429588,-1.133070708429588,-1.133070708429588,-1.133070708429588,-1.133070708429588,0.0,0.0,0.0,25.497269896965452
